median_income,housing_median_age,latitude,longitude,households,median_house_value
8.3252,41.0,37.88,-122.23,126.0,452600.0
8.3014,21.0,37.86,-122.22,1138.0,358500.0
7.2574,52.0,37.85,-122.24,177.0,352100.0
5.6431,52.0,37.85,-122.25,219.0,341300.0
3.8462,52.0,37.85,-122.25,259.0,342200.0
4.0368,52.0,37.85,-122.25,193.0,269700.0
3.6591,52.0,37.84,-122.25,514.0,299200.0
3.12,52.0,37.84,-122.25,647.0,241400.0
2.0804,42.0,37.84,-122.26,595.0,226700.0
3.6912,52.0,37.84,-122.25,714.0,261100.0
3.2031,52.0,37.85,-122.26,402.0,281500.0
3.2705,52.0,37.85,-122.26,734.0,241800.0
3.075,52.0,37.85,-122.26,468.0,213500.0
2.6736,52.0,37.84,-122.26,174.0,191300.0
1.9167,52.0,37.85,-122.26,620.0,159200.0
2.125,50.0,37.85,-122.26,264.0,140000.0
2.775,52.0,37.85,-122.27,331.0,152500.0
2.1202,52.0,37.85,-122.27,303.0,155500.0
1.9911,50.0,37.84,-122.26,419.0,158700.0
2.6033,52.0,37.84,-122.27,275.0,162900.0
1.3578,40.0,37.85,-122.27,166.0,147500.0
1.7135,42.0,37.85,-122.27,366.0,159800.0
1.725,52.0,37.84,-122.27,478.0,113900.0
2.1806,52.0,37.84,-122.27,325.0,99700.0
2.6,52.0,37.84,-122.27,422.0,132600.0
2.4038,41.0,37.85,-122.28,119.0,107500.0
2.4597,49.0,37.85,-122.28,239.0,93800.0
1.808,52.0,37.85,-122.28,397.0,105500.0
1.6424,50.0,37.84,-122.28,473.0,108900.0
1.6875,52.0,37.84,-122.28,155.0,132000.0
1.9274,49.0,37.84,-122.28,378.0,122300.0
1.9615,52.0,37.84,-122.28,441.0,115200.0
1.7969,48.0,37.84,-122.27,335.0,110400.0
1.375,49.0,37.83,-122.27,329.0,104900.0
2.7303,51.0,37.83,-122.27,536.0,109700.0
1.4861,49.0,37.83,-122.27,264.0,97200.0
1.0972,48.0,37.83,-122.27,374.0,104500.0
1.4103,52.0,37.83,-122.28,403.0,103900.0
3.48,52.0,37.83,-122.26,309.0,191400.0
2.5898,52.0,37.83,-122.26,696.0,176000.0
2.0978,52.0,37.83,-122.26,395.0,155400.0
1.2852,51.0,37.83,-122.26,249.0,150000.0
1.025,49.0,37.84,-122.26,189.0,118800.0
3.9643,52.0,37.84,-122.26,198.0,188800.0
3.0125,52.0,37.83,-122.26,292.0,184400.0
2.6768,52.0,37.83,-122.26,382.0,182300.0
2.026,50.0,37.83,-122.26,304.0,142500.0
1.7348,43.0,37.82,-122.27,253.0,137500.0
0.9506,40.0,37.82,-122.26,160.0,187500.0
1.775,40.0,37.82,-122.27,352.0,112500.0
0.9218,21.0,37.82,-122.27,438.0,171900.0
1.5045,43.0,37.82,-122.27,407.0,93800.0
1.1108,41.0,37.82,-122.27,720.0,97500.0
1.2475,52.0,37.82,-122.27,400.0,104200.0
1.6098,52.0,37.82,-122.28,233.0,87500.0
1.4113,52.0,37.82,-122.28,220.0,83100.0
1.5057,52.0,37.82,-122.28,259.0,87500.0
0.8172,52.0,37.82,-122.28,244.0,85300.0
1.2171,52.0,37.82,-122.28,304.0,80300.0
2.5625,2.0,37.82,-122.29,57.0,60000.0
3.3929,52.0,37.83,-122.29,187.0,75700.0
6.1183,49.0,37.82,-122.29,23.0,75000.0
0.9011,50.0,37.81,-122.29,122.0,86100.0
1.191,52.0,37.81,-122.3,159.0,76100.0
2.5938,48.0,37.81,-122.3,133.0,73500.0
1.1667,52.0,37.81,-122.3,187.0,78400.0
0.8056,48.0,37.81,-122.3,332.0,84400.0
2.6094,52.0,37.8,-122.29,147.0,81300.0
